page_loads,unique_visits,first_visits,returning_visits,Day,days_f
3827,2639,2133,506,Thursday,1
2944,1973,1564,409,Friday,0
1827,1193,954,239,Saturday,0
2373,1658,1369,289,Sunday,0
4031,2763,2290,473,Monday,1
4027,2780,2248,532,Tuesday,1
3912,2795,2291,504,Wednesday,1
3867,2715,2191,524,Thursday,1
3304,2238,1806,432,Friday,0
1685,1208,1011,197,Saturday,0
2130,1542,1282,260,Sunday,0
3936,2697,2182,515,Monday,1
4029,2744,2203,541,Tuesday,1
4010,2789,2237,552,Wednesday,1
4027,2890,2392,498,Thursday,1
2829,2000,1585,415,Friday,0
1736,1227,1023,204,Saturday,0
2517,1686,1416,270,Sunday,0
4029,2769,2299,470,Monday,1
4261,2890,2358,532,Tuesday,1
4058,2923,2442,481,Wednesday,1
4392,3007,2466,541,Thursday,1
3072,2221,1846,375,Friday,0
1799,1284,1068,216,Saturday,0
2341,1611,1345,266,Sunday,0
3330,2354,1963,391,Monday,1
4734,3381,2833,548,Tuesday,1
4801,3381,2845,536,Wednesday,1
4399,3079,2575,504,Thursday,1
3275,2375,1958,417,Friday,0
2042,1429,1223,206,Saturday,0
2827,2103,1844,259,Sunday,0
4836,3437,2954,483,Monday,1
4840,3465,2944,521,Tuesday,1
4504,3356,2902,454,Wednesday,1
4379,3240,2736,504,Thursday,1
3391,2428,2024,404,Friday,0
2045,1513,1278,235,Saturday,0
2721,2081,1817,264,Sunday,0
4630,3535,2998,537,Monday,1
4748,3540,3004,536,Tuesday,1
4702,3377,2893,484,Wednesday,1
4440,3309,2827,482,Thursday,1
3513,2518,2116,402,Friday,0
2253,1633,1395,238,Saturday,0
3141,2291,1980,311,Sunday,0
5122,3808,3289,519,Monday,1
5151,3868,3305,563,Tuesday,1
4969,3703,3182,521,Wednesday,1
4619,3365,2876,489,Thursday,1
3443,2598,2196,402,Friday,0
2302,1754,1503,251,Saturday,0
3291,2506,2173,333,Sunday,0
5206,3737,3170,567,Monday,1
5474,3940,3337,603,Tuesday,1
5400,3934,3350,584,Wednesday,1
5334,3821,3244,577,Thursday,1
4174,3022,2547,475,Friday,0
2571,1853,1597,256,Saturday,0
3572,2636,2283,353,Sunday,0
5018,3788,3241,547,Monday,1
5565,4159,3536,623,Tuesday,1
5420,4048,3403,645,Wednesday,1
5366,3908,3331,577,Thursday,1
4091,3002,2507,495,Friday,0
2824,2087,1770,317,Saturday,0
3843,2825,2441,384,Sunday,0
5516,4140,3491,649,Monday,1
5572,4121,3460,661,Tuesday,1
5243,3882,3298,584,Wednesday,1
5133,3720,3104,616,Thursday,1
4084,2947,2441,506,Friday,0
2739,1978,1647,331,Saturday,0
3781,2857,2435,422,Sunday,0
5684,4073,3417,656,Monday,1
5687,4179,3534,645,Tuesday,1
5906,4266,3614,652,Wednesday,1
5541,4020,3368,652,Thursday,1
4171,3043,2501,542,Friday,0
2586,1820,1496,324,Saturday,0
3838,2922,2456,466,Sunday,0
5675,4076,3419,657,Monday,1
5624,4178,3504,674,Tuesday,1
5794,4316,3670,646,Wednesday,1
5389,4031,3379,652,Thursday,1
4305,3047,2522,525,Friday,0
3281,2202,1854,348,Saturday,0
3790,2837,2418,419,Sunday,0
5894,4203,3487,716,Monday,1
5461,4048,3388,660,Tuesday,1
5206,3869,3219,650,Wednesday,1
5228,3929,3281,648,Thursday,1
4097,2971,2436,535,Friday,0
2694,1964,1616,348,Saturday,0
3893,2930,2483,447,Sunday,0
6185,4550,3872,678,Monday,1
6178,4503,3795,708,Tuesday,1
6067,4397,3693,704,Wednesday,1
5656,4166,3487,679,Thursday,1
4398,3173,2645,528,Friday,0
2836,2086,1741,345,Saturday,0
3896,2927,2424,503,Sunday,0
5814,4236,3543,693,Monday,1
5879,4140,3475,665,Tuesday,1
4800,3457,2836,621,Wednesday,1
3838,2825,2334,491,Thursday,1
3576,2579,2118,461,Friday,0
2799,1974,1652,322,Saturday,0
4228,3127,2605,522,Sunday,0
6331,4570,3817,753,Monday,1
6380,4743,4027,716,Tuesday,1
6314,4829,4039,790,Wednesday,1
6160,4584,3835,749,Thursday,1
4859,3615,2995,620,Friday,0
3317,2468,2040,428,Saturday,0
4715,3550,2972,578,Sunday,0
6940,5136,4303,833,Monday,1
6551,4866,4068,798,Tuesday,1
6327,4761,3961,800,Wednesday,1
6212,4578,3830,748,Thursday,1
4687,3388,2771,617,Friday,0
3014,2283,1856,427,Saturday,0
4132,3064,2548,516,Sunday,0
5989,4330,3606,724,Monday,1
5331,3967,3309,658,Tuesday,1
5183,3665,3025,640,Wednesday,1
4769,3515,2917,598,Thursday,1
3627,2518,2071,447,Friday,0
1857,1319,1087,232,Saturday,0
2221,1489,1204,285,Sunday,0
3335,2335,1906,429,Monday,1
2883,2047,1639,408,Tuesday,1
2353,1621,1312,309,Wednesday,1
1578,1099,886,213,Thursday,1
1017,724,586,138,Friday,0
1334,936,760,176,Saturday,0
1690,1155,947,208,Sunday,0
2838,1829,1474,355,Monday,1
2815,1786,1419,367,Tuesday,1
2382,1618,1292,326,Wednesday,1
1587,1035,809,226,Thursday,1
1411,960,786,174,Friday,0
1838,1197,969,228,Saturday,0
2180,1562,1279,283,Sunday,0
3587,2494,2037,457,Monday,1
3855,2742,2230,512,Tuesday,1
3840,2628,2127,501,Wednesday,1
3735,2746,2258,488,Thursday,1
3223,2286,1860,426,Friday,0
2207,1531,1280,251,Saturday,0
2814,2000,1661,339,Sunday,0
4007,2976,2444,532,Monday,1
4119,2961,2385,576,Tuesday,1
4338,3164,2631,533,Wednesday,1
4432,2962,2418,544,Thursday,1
3306,2349,1866,483,Friday,0
2223,1557,1262,295,Saturday,0
2757,2002,1635,367,Sunday,0
4047,2898,2373,525,Monday,1
4489,3190,2566,624,Tuesday,1
4588,3232,2656,576,Wednesday,1
4398,3106,2561,545,Thursday,1
3340,2455,1990,465,Friday,0
2344,1639,1338,301,Saturday,0
2973,2094,1736,358,Sunday,0
4638,3205,2649,556,Monday,1
4791,3409,2834,575,Tuesday,1
5104,3768,3197,571,Wednesday,1
4621,3439,2876,563,Thursday,1
3831,2715,2232,483,Friday,0
2295,1690,1400,290,Saturday,0
3235,2462,2050,412,Sunday,0
4918,3640,3060,580,Monday,1
5127,3783,3195,588,Tuesday,1
4794,3575,2999,576,Wednesday,1
4788,3420,2848,572,Thursday,1
3948,2727,2256,471,Friday,0
2383,1765,1477,288,Saturday,0
2950,2231,1839,392,Sunday,0
4905,3592,3024,568,Monday,1
5353,3931,3299,632,Tuesday,1
5492,4007,3358,649,Wednesday,1
5052,3628,3019,609,Thursday,1
3764,2807,2300,507,Friday,0
2458,1788,1459,329,Saturday,0
3098,2277,1866,411,Sunday,0
4951,3652,3039,613,Monday,1
5495,4000,3304,696,Tuesday,1
5505,4062,3375,687,Wednesday,1
5188,3812,3156,656,Thursday,1
4002,2932,2377,555,Friday,0
2607,1888,1537,351,Saturday,0
3906,2838,2355,483,Sunday,0
6360,4432,3684,748,Monday,1
6046,4460,3714,746,Tuesday,1
5938,4309,3499,810,Wednesday,1
5325,3892,3199,693,Thursday,1
4165,3048,2490,558,Friday,0
2829,2096,1726,370,Saturday,0
4090,2979,2462,517,Sunday,0
5734,4224,3493,731,Monday,1
6214,4474,3731,743,Tuesday,1
5906,4333,3597,736,Wednesday,1
5814,4191,3419,772,Thursday,1
4507,3188,2624,564,Friday,0
2859,2064,1718,346,Saturday,0
3897,2806,2326,480,Sunday,0
5849,4240,3503,737,Monday,1
6264,4526,3743,783,Tuesday,1
6062,4404,3624,780,Wednesday,1
5685,4159,3415,744,Thursday,1
4391,3241,2627,614,Friday,0
2880,2046,1638,408,Saturday,0
3740,2673,2163,510,Sunday,0
5710,4261,3469,792,Monday,1
5168,3778,3047,731,Tuesday,1
5577,4062,3287,775,Wednesday,1
5238,3827,3134,693,Thursday,1
3931,2871,2320,551,Friday,0
2606,1892,1568,324,Saturday,0
3149,2410,2028,382,Sunday,0
5565,3968,3274,694,Monday,1
5281,3770,3035,735,Tuesday,1
5202,3780,3146,634,Wednesday,1
4581,3203,2649,554,Thursday,1
3264,2281,1847,434,Friday,0
2344,1759,1393,366,Saturday,0
3112,2311,1890,421,Sunday,0
5051,3655,2985,670,Monday,1
5333,3944,3217,727,Tuesday,1
5671,4078,3369,709,Wednesday,1
5097,3707,3026,681,Thursday,1
4555,2971,2408,563,Friday,0
2987,2129,1737,392,Saturday,0
4257,2964,2421,543,Sunday,0
5804,4216,3426,790,Monday,1
5885,4379,3597,782,Tuesday,1
6054,4293,3522,771,Wednesday,1
5791,4147,3422,725,Thursday,1
4741,3430,2820,610,Friday,0
2946,2140,1740,400,Saturday,0
4071,2864,2330,534,Sunday,0
6265,4503,3667,836,Monday,1
6298,4626,3769,857,Tuesday,1
6495,4628,3791,837,Wednesday,1
5536,4189,3431,758,Thursday,1
4737,3447,2785,662,Friday,0
3232,2333,1862,471,Saturday,0
4201,3093,2504,589,Sunday,0
6806,4769,3920,849,Monday,1
6769,4817,3940,877,Tuesday,1
6581,4824,3926,898,Wednesday,1
6254,4537,3707,830,Thursday,1
5163,3685,3009,676,Friday,0
3851,2595,2113,482,Saturday,0
4695,3386,2761,625,Sunday,0
7098,5224,4237,987,Monday,1
7156,5392,4468,924,Tuesday,1
6836,5056,4130,926,Wednesday,1
6329,4724,3892,832,Thursday,1
4990,3608,2922,686,Friday,0
3536,2489,1993,496,Saturday,0
4366,3236,2605,631,Sunday,0
6510,4786,3909,877,Monday,1
6855,4962,4085,877,Tuesday,1
6599,4651,3744,907,Wednesday,1
5510,4105,3375,730,Thursday,1
4549,3245,2639,606,Friday,0
3064,2167,1760,407,Saturday,0
3633,2663,2180,483,Sunday,0
5838,4283,3489,794,Monday,1
6026,4336,3581,755,Tuesday,1
5780,4226,3479,747,Wednesday,1
5131,3781,3101,680,Thursday,1
3928,2845,2294,551,Friday,0
2636,1930,1552,378,Saturday,0
3278,2366,1922,444,Sunday,0
4785,3560,2882,678,Monday,1
4886,3601,2914,687,Tuesday,1
5145,3672,2987,685,Wednesday,1
5849,4211,3484,727,Thursday,1
4456,3324,2725,599,Friday,0
2960,2138,1716,422,Saturday,0
3885,2860,2338,522,Sunday,0
5857,4155,3368,787,Monday,1
6162,4345,3526,819,Tuesday,1
6014,4254,3398,856,Wednesday,1
5652,4119,3385,734,Thursday,1
4793,3340,2692,648,Friday,0
2819,1995,1611,384,Saturday,0
3687,2546,2067,479,Sunday,0
4851,3399,2701,698,Monday,1
5775,4216,3413,803,Tuesday,1
5443,3962,3193,769,Wednesday,1
5590,3959,3176,783,Thursday,1
4482,3164,2489,675,Friday,0
2792,1947,1533,414,Saturday,0
3371,2449,1979,470,Sunday,0
5547,3832,3036,796,Monday,1
5468,3954,3226,728,Tuesday,1
5104,3751,3064,687,Wednesday,1
4728,3485,2812,673,Thursday,1
4024,2855,2290,565,Friday,0
2350,1677,1348,329,Saturday,0
3234,2196,1779,417,Sunday,0
4948,3550,2790,760,Monday,1
5247,3760,3052,708,Tuesday,1
5003,3557,2810,747,Wednesday,1
4816,3482,2775,707,Thursday,1
4208,2818,2267,551,Friday,0
2454,1668,1357,311,Saturday,0
2763,1919,1506,413,Sunday,0
4954,3522,2829,693,Monday,1
4903,3470,2793,677,Tuesday,1
4907,3464,2772,692,Wednesday,1
4625,3336,2669,667,Thursday,1
3497,2482,1947,535,Friday,0
1826,1358,1101,257,Saturday,0
2307,1721,1356,365,Sunday,0
4368,3078,2433,645,Monday,1
4233,3091,2466,625,Tuesday,1
4187,2948,2377,571,Wednesday,1
3811,2726,2135,591,Thursday,1
3179,2226,1730,496,Friday,0
1615,1039,814,225,Saturday,0
1788,1307,1028,279,Sunday,0
2959,2144,1653,491,Monday,1
3947,2840,2235,605,Tuesday,1
3841,2821,2248,573,Wednesday,1
3729,2700,2148,552,Thursday,1
3324,2381,1891,490,Friday,0
1795,1305,1036,269,Saturday,0
2373,1655,1321,334,Sunday,0
4101,2855,2208,647,Monday,1
4241,2960,2352,608,Tuesday,1
4478,3189,2578,611,Wednesday,1
3961,2814,2214,600,Thursday,1
3367,2325,1796,529,Friday,0
1828,1222,951,271,Saturday,0
2344,1636,1319,317,Sunday,0
4415,3007,2382,625,Monday,1
4403,3151,2502,649,Tuesday,1
4244,3082,2450,632,Wednesday,1
4322,3077,2404,673,Thursday,1
3456,2431,1936,495,Friday,0
2068,1407,1099,308,Saturday,0
2568,1755,1374,381,Sunday,0
4770,3320,2628,692,Monday,1
4621,3277,2595,682,Tuesday,1
4470,3164,2513,651,Wednesday,1
4307,3077,2459,618,Thursday,1
3370,2366,1818,548,Friday,0
1960,1341,1017,324,Saturday,0
2412,1765,1423,342,Sunday,0
4504,3095,2489,606,Monday,1
4382,3138,2499,639,Tuesday,1
4710,3369,2697,672,Wednesday,1
4324,3106,2479,627,Thursday,1
3472,2497,1980,517,Friday,0
1909,1339,1081,258,Saturday,0
2365,1688,1334,354,Sunday,0
4460,3056,2438,618,Monday,1
4479,3135,2482,653,Tuesday,1
4510,3207,2550,657,Wednesday,1
4340,3111,2491,620,Thursday,1
3508,2436,1933,503,Friday,0
2030,1420,1122,298,Saturday,0
2586,1749,1399,350,Sunday,0
4476,2970,2346,624,Monday,1
3232,2299,1823,476,Tuesday,1
4291,3106,2498,608,Wednesday,1
4247,2926,2327,599,Thursday,1
3477,2539,2045,494,Friday,0
2169,1470,1169,301,Saturday,0
2430,1808,1453,355,Sunday,0
4358,3082,2439,643,Monday,1
4465,3249,2550,699,Tuesday,1
4550,3210,2615,595,Wednesday,1
4147,3011,2380,631,Thursday,1
3634,2532,2000,532,Friday,0
2014,1430,1141,289,Saturday,0
2687,1910,1555,355,Sunday,0
4376,3115,2521,594,Monday,1
4318,3226,2622,604,Tuesday,1
4441,3219,2620,599,Wednesday,1
4234,3116,2556,560,Thursday,1
3027,2230,1762,468,Friday,0
1966,1376,1101,275,Saturday,0
2446,1761,1452,309,Sunday,0
3779,2643,2145,498,Monday,1
4619,3341,2727,614,Tuesday,1
4983,3584,2925,659,Wednesday,1
4645,3319,2716,603,Thursday,1
3612,2630,2139,491,Friday,0
2153,1577,1323,254,Saturday,0
3089,2307,1978,329,Sunday,0
4580,3446,2882,564,Monday,1
4788,3625,2992,633,Tuesday,1
5095,3759,3113,646,Wednesday,1
4668,3454,2860,594,Thursday,1
3711,2785,2272,513,Friday,0
2523,1861,1577,284,Saturday,0
3364,2547,2122,425,Sunday,0
5513,4050,3321,729,Monday,1
5362,3762,3095,667,Tuesday,1
5402,3987,3293,694,Wednesday,1
5398,3996,3299,697,Thursday,1
3783,2663,2134,529,Friday,0
2395,1797,1503,294,Saturday,0
3679,2719,2289,430,Sunday,0
5688,4325,3570,755,Monday,1
5842,4382,3645,737,Tuesday,1
5923,4458,3682,776,Wednesday,1
5717,4222,3487,735,Thursday,1
4250,3176,2565,611,Friday,0
2525,1986,1656,330,Saturday,0
3923,3023,2559,464,Sunday,0
5785,4281,3545,736,Monday,1
6052,4522,3780,742,Tuesday,1
6150,4588,3814,774,Wednesday,1
5591,4134,3419,715,Thursday,1
4279,3196,2616,580,Friday,0
2897,2066,1717,349,Saturday,0
3904,2873,2374,499,Sunday,0
5458,4145,3442,703,Monday,1
5909,4399,3685,714,Tuesday,1
6175,4620,3823,797,Wednesday,1
5856,4422,3581,841,Thursday,1
4610,3505,2837,668,Friday,0
3081,2269,1864,405,Saturday,0
4390,3265,2718,547,Sunday,0
6507,4917,4018,899,Monday,1
6941,5103,4189,914,Tuesday,1
6576,4776,3961,815,Wednesday,1
5985,4462,3701,761,Thursday,1
4789,3497,2840,657,Friday,0
3263,2292,1881,411,Saturday,0
4180,3135,2561,574,Sunday,0
6371,4865,3993,872,Monday,1
6648,4960,4070,890,Tuesday,1
6501,4777,3880,897,Wednesday,1
6088,4431,3574,857,Thursday,1
4376,3179,2510,669,Friday,0
